,price,log_price
3736,38.0,3.6375861597263857
3737,100.0,4.605170185988092
3738,103.0,4.634728988229636
3739,99.0,4.59511985013459
3740,190.0,5.247024072160486
3741,90.0,4.499809670330265
3742,42.0,3.7376696182833684
3743,114.0,4.736198448394496
3744,31.0,3.4339872044851463
3745,50.0,3.912023005428146
3746,160.0,5.075173815233827
3747,95.0,4.553876891600541
3748,161.0,5.081404364984463
3749,150.0,5.0106352940962555
3750,50.0,3.912023005428146
3751,99.0,4.59511985013459
3752,200.0,5.298317366548036
3753,70.0,4.248495242049359
3754,45.0,3.8066624897703196
3755,99.0,4.59511985013459
3756,98.0,4.584967478670572
3757,180.0,5.19295685089021
3758,100.0,4.605170185988092
3759,65.0,4.174387269895637
3760,200.0,5.298317366548036
3761,249.0,5.517452896464707
3762,200.0,5.298317366548036
3763,125.0,4.8283137373023015
3764,200.0,5.298317366548036
3765,50.0,3.912023005428146
3766,200.0,5.298317366548036
3767,300.0,5.703782474656201
3768,200.0,5.298317366548036
3769,100.0,4.605170185988092
3770,139.0,4.9344739331306915
3771,40.0,3.6888794541139363
3772,150.0,5.0106352940962555
3773,144.0,4.969813299576001
3774,110.0,4.700480365792417
3775,85.0,4.442651256490317
3776,65.0,4.174387269895637
3777,130.0,4.867534450455582
3778,90.0,4.499809670330265
3779,50.0,3.912023005428146
3780,65.0,4.174387269895637
3781,120.0,4.787491742782046
3782,150.0,5.0106352940962555
3783,183.0,5.209486152841421
3784,600.0,6.396929655216146
3785,61.0,4.110873864173311
